,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,song_title,artists,Popularity,popularity
741,0.0103,https://api.spotify.com/v1/audio-analysis/5PX4uS1LqlWEPL69phPVQQ,0.725,373627,0.688,5PX4uS1LqlWEPL69phPVQQ,0.00386,0,0.0494,-5.233,1,0.0546,128.004,4,https://api.spotify.com/v1/tracks/5PX4uS1LqlWEPL69phPVQQ,audio_features,spotify:track:5PX4uS1LqlWEPL69phPVQQ,0.609,2018-04-20T01:11:55Z,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"Kid Cudi,MGMT,Ratatat,Steve Aoki",,71
742,0.211,https://api.spotify.com/v1/audio-analysis/0Gc1AVYqYOR522Nvz68dsT,0.729,211000,0.947,0Gc1AVYqYOR522Nvz68dsT,0.822,11,0.367,-3.103,0,0.0458,130.005,4,https://api.spotify.com/v1/tracks/0Gc1AVYqYOR522Nvz68dsT,audio_features,spotify:track:0Gc1AVYqYOR522Nvz68dsT,0.209,2018-04-20T01:07:46Z,The Hum - Short Edit,"Dimitri Vegas & Like Mike,Ummet Ozcan",,44
743,0.00171,https://api.spotify.com/v1/audio-analysis/20UdW4qyeOmKa9YaOcv9WX,0.721,197442,0.925,20UdW4qyeOmKa9YaOcv9WX,0.0545,4,0.547,-3.208,0,0.196,111.961,4,https://api.spotify.com/v1/tracks/20UdW4qyeOmKa9YaOcv9WX,audio_features,spotify:track:20UdW4qyeOmKa9YaOcv9WX,0.37,2018-04-20T00:40:02Z,Need You,"Dillon Francis,NGHTMRE",,47
744,0.0825,https://api.spotify.com/v1/audio-analysis/7DG0GWRbL5ep5WV3hJ5SmM,0.58,200476,0.957,7DG0GWRbL5ep5WV3hJ5SmM,0.000154,9,0.197,-2.157,0,0.0523,125.926,4,https://api.spotify.com/v1/tracks/7DG0GWRbL5ep5WV3hJ5SmM,audio_features,spotify:track:7DG0GWRbL5ep5WV3hJ5SmM,0.593,2018-04-18T23:45:22Z,Black Mirror (Dirty Werk Remix),"Sophie Simmons,Dirty Werk",,27
745,0.0604,https://api.spotify.com/v1/audio-analysis/2L6orAlH8tBhiFTumIfMyF,0.67,222041,0.838,2L6orAlH8tBhiFTumIfMyF,0.000611,0,0.159,-4.031,1,0.0362,104.998,4,https://api.spotify.com/v1/tracks/2L6orAlH8tBhiFTumIfMyF,audio_features,spotify:track:2L6orAlH8tBhiFTumIfMyF,0.717,2018-04-18T23:44:09Z,Call on Me - Ryan Riback Remix,"Starley,Ryan Riback",,66
746,0.0024,https://api.spotify.com/v1/audio-analysis/5MYzarVq7dyU7G8z8NQKF2,0.54,201290,0.933,5MYzarVq7dyU7G8z8NQKF2,0.954,2,0.371,-6.784,1,0.0364,123.988,4,https://api.spotify.com/v1/tracks/5MYzarVq7dyU7G8z8NQKF2,audio_features,spotify:track:5MYzarVq7dyU7G8z8NQKF2,0.238,2018-04-18T23:35:31Z,Yebisah,Mark Knight,,51
747,0.024,https://api.spotify.com/v1/audio-analysis/0LdkVfBGmZUOKf8sway0tM,0.648,207619,0.904,0LdkVfBGmZUOKf8sway0tM,0.0,3,0.116,-5.988,0,0.108,126.009,4,https://api.spotify.com/v1/tracks/0LdkVfBGmZUOKf8sway0tM,audio_features,spotify:track:0LdkVfBGmZUOKf8sway0tM,0.324,2018-04-18T23:33:40Z,Make Your Move - Kharmelo Remix Edit,"Croatia Squad,Lika Morgan,Kharmelo",,32
748,0.136,https://api.spotify.com/v1/audio-analysis/26spYfEUtRfMBWvbHHq84O,0.729,142500,0.989,26spYfEUtRfMBWvbHHq84O,0.028,10,0.324,-2.259,0,0.059,127.974,4,https://api.spotify.com/v1/tracks/26spYfEUtRfMBWvbHHq84O,audio_features,spotify:track:26spYfEUtRfMBWvbHHq84O,0.547,2018-04-18T23:14:19Z,DYSYLM - Mixed,"Breathe Carolina,Sunstars",,1
749,0.0365,https://api.spotify.com/v1/audio-analysis/2ToIksTPpJ4csKPEOdUEyM,0.537,221400,0.848,2ToIksTPpJ4csKPEOdUEyM,0.0,6,0.423,-2.431,0,0.0313,128.023,4,https://api.spotify.com/v1/tracks/2ToIksTPpJ4csKPEOdUEyM,audio_features,spotify:track:2ToIksTPpJ4csKPEOdUEyM,0.498,2018-04-18T21:11:24Z,Cool,"Alesso,Roy English",,59
750,0.000186,https://api.spotify.com/v1/audio-analysis/3QjCmtOcE0GoiExw1XXcjw,0.497,179200,0.944,3QjCmtOcE0GoiExw1XXcjw,0.333,1,0.483,-3.701,1,0.0451,150.024,4,https://api.spotify.com/v1/tracks/3QjCmtOcE0GoiExw1XXcjw,audio_features,spotify:track:3QjCmtOcE0GoiExw1XXcjw,0.318,2018-04-18T15:29:58Z,The Underground,"Hardwell,Timmy Trumpet",,60
